Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,36EastIDF-A,Ethernet49,l3spine,SPLINE1,Ethernet2,True
leaf,36EastIDF-A,Ethernet51,leaf,36EastIDF-Member1,Ethernet51,True
leaf,36EastIDF-A,Ethernet52,leaf,36EastIDF-Member2,Ethernet51,True
leaf,36EastIDF-A,Ethernet58,mlag_peer,36EastIDF-B,Ethernet58,True
leaf,36EastIDF-A,Ethernet59,mlag_peer,36EastIDF-B,Ethernet59,True
leaf,36EastIDF-B,Ethernet50,l3spine,SPLINE2,Ethernet2,True
leaf,36EastIDF-B,Ethernet51,leaf,36EastIDF-Member1,Ethernet52,True
leaf,36EastIDF-B,Ethernet52,leaf,36EastIDF-Member2,Ethernet52,True
leaf,36EastIDF-B,Ethernet58,mlag_peer,36EastIDF-A,Ethernet58,True
leaf,36EastIDF-B,Ethernet59,mlag_peer,36EastIDF-A,Ethernet59,True
leaf,36EastIDF-Member1,Ethernet51,leaf,36EastIDF-A,Ethernet51,True
leaf,36EastIDF-Member1,Ethernet52,leaf,36EastIDF-B,Ethernet51,True
leaf,36EastIDF-Member1,Ethernet53,leaf,36EastIDF-Member3,Ethernet53,True
leaf,36EastIDF-Member2,Ethernet51,leaf,36EastIDF-A,Ethernet52,True
leaf,36EastIDF-Member2,Ethernet52,leaf,36EastIDF-B,Ethernet52,True
leaf,36EastIDF-Member2,Ethernet53,leaf,36EastIDF-Member3,Ethernet54,True
leaf,36EastIDF-Member3,Ethernet53,leaf,36EastIDF-Member1,Ethernet53,True
leaf,36EastIDF-Member3,Ethernet54,leaf,36EastIDF-Member2,Ethernet53,True
leaf,36WestIDF,Ethernet49,l3spine,SPLINE1,Ethernet1,True
leaf,36WestIDF,Ethernet50,l3spine,SPLINE2,Ethernet1,True
leaf,37WestIDF-A,Ethernet49,l3spine,SPLINE1,Ethernet3,True
leaf,37WestIDF-A,Ethernet50,l3spine,SPLINE2,Ethernet3,True
leaf,37WestIDF-A,Ethernet58,mlag_peer,37WestIDF-B,Ethernet58,True
leaf,37WestIDF-A,Ethernet59,mlag_peer,37WestIDF-B,Ethernet59,True
leaf,37WestIDF-B,Ethernet49,l3spine,SPLINE1,Ethernet4,True
leaf,37WestIDF-B,Ethernet50,l3spine,SPLINE2,Ethernet4,True
leaf,37WestIDF-B,Ethernet58,mlag_peer,37WestIDF-A,Ethernet58,True
leaf,37WestIDF-B,Ethernet59,mlag_peer,37WestIDF-A,Ethernet59,True
l3spine,SPLINE1,Ethernet1,leaf,36WestIDF,Ethernet49,True
l3spine,SPLINE1,Ethernet2,leaf,36EastIDF-A,Ethernet49,True
l3spine,SPLINE1,Ethernet3,leaf,37WestIDF-A,Ethernet49,True
l3spine,SPLINE1,Ethernet4,leaf,37WestIDF-B,Ethernet49,True
l3spine,SPLINE1,Ethernet49,mlag_peer,SPLINE2,Ethernet49,True
l3spine,SPLINE1,Ethernet50,mlag_peer,SPLINE2,Ethernet50,True
l3spine,SPLINE2,Ethernet1,leaf,36WestIDF,Ethernet50,True
l3spine,SPLINE2,Ethernet2,leaf,36EastIDF-B,Ethernet50,True
l3spine,SPLINE2,Ethernet3,leaf,37WestIDF-A,Ethernet50,True
l3spine,SPLINE2,Ethernet4,leaf,37WestIDF-B,Ethernet50,True
l3spine,SPLINE2,Ethernet49,mlag_peer,SPLINE1,Ethernet49,True
l3spine,SPLINE2,Ethernet50,mlag_peer,SPLINE1,Ethernet50,True
